Date,JYP,SM,YG
2020-09-16,40100,37500,58300
2020-09-17,39200,36100,56300
2020-09-18,40000,35950,58000
2020-09-21,38550,35000,55600
2020-09-22,36900,34600,55200
2020-09-23,38300,35350,55900
2020-09-24,35350,33750,51900
2020-09-25,34700,33650,50900
2020-09-28,38150,35900,57000
2020-09-29,38250,35800,58000
2020-10-05,36450,33900,52500
2020-10-06,36550,33850,51500
2020-10-07,36800,33950,51600
2020-10-08,35950,33350,49800
2020-10-12,34900,33400,47600
2020-10-13,36600,34300,48100
2020-10-14,35950,34150,48150
2020-10-15,34050,31850,44900
2020-10-16,34550,30850,43850
2020-10-19,33500,30400,42650
2020-10-20,33400,30400,42950
2020-10-21,33800,31200,42600
2020-10-22,32550,29850,41700
2020-10-23,32750,29600,41950
2020-10-26,31600,28750,38700
2020-10-27,32200,29000,40400
2020-10-28,32950,30100,41150
2020-10-29,31850,29800,40450
2020-10-30,30550,28800,38700
2020-11-02,31700,29250,39850
2020-11-03,32500,29650,41000
2020-11-04,33400,30000,41150
2020-11-05,35300,31050,43850
2020-11-06,34450,30350,42500
2020-11-09,35150,30650,42950
2020-11-10,35850,31600,43900
2020-11-11,34950,31650,42800
2020-11-12,34850,32200,43650
2020-11-13,35900,32000,44350
2020-11-16,38100,32400,45300
2020-11-17,37950,30500,43850
2020-11-18,39850,30600,44900
2020-11-19,39800,29900,43850
2020-11-20,39900,30450,44600
2020-11-23,39950,30300,45450
2020-11-24,39000,30200,47150
2020-11-25,39900,29900,45950
2020-11-26,39000,30100,45150
2020-11-27,39300,30000,45050
2020-11-30,37950,29700,43800
2020-12-01,39350,29950,44050
2020-12-02,39150,29900,43750
2020-12-03,43250,31250,49050
2020-12-04,40650,30250,46600
2020-12-07,39150,29700,45550
2020-12-08,37900,30000,45900
2020-12-09,38050,30350,46650
2020-12-10,38600,30050,45800
2020-12-11,38750,30100,47300
2020-12-14,38200,29750,46800
2020-12-15,38050,29600,46750
2020-12-16,38100,29550,46900
2020-12-17,37100,29200,44900
2020-12-18,37300,29150,45200
2020-12-21,36750,28800,43800
2020-12-22,35350,28100,42400
2020-12-23,37150,28400,42800
2020-12-24,37050,28950,43050
2020-12-28,38500,29400,43450
2020-12-29,38650,29450,44450
2020-12-30,38400,29750,44700
2021-01-04,37550,29550,44050
2021-01-05,37250,29250,43300
2021-01-06,36700,29000,43000
2021-01-07,36650,29200,43000
2021-01-08,37800,29900,45100
2021-01-11,36200,29000,44000
2021-01-12,36900,28950,45250
2021-01-13,37000,30650,47000
2021-01-14,37050,30900,47000
2021-01-15,36250,29900,45500
2021-01-18,35900,29550,45300
2021-01-19,36500,30300,47050
2021-01-20,38500,31300,51000
2021-01-21,37850,31250,51200
2021-01-22,38000,32400,52900
2021-01-25,37700,33750,51800
2021-01-26,36400,32900,52000
2021-01-27,35200,32600,50400
2021-01-28,34150,31800,47050
2021-01-29,32500,30600,45350
2021-02-01,33600,30900,45750
2021-02-02,34100,31400,47500
2021-02-03,34300,31300,49100
2021-02-04,33450,30700,49050
2021-02-05,33350,30250,49150
2021-02-08,33400,30450,48900
2021-02-09,33150,30050,46650
2021-02-10,33800,30800,47150
2021-02-15,34150,30750,47150
2021-02-16,36450,31300,48550
2021-02-17,37600,30900,48600
2021-02-18,37000,30600,46900
2021-02-19,36700,30450,46000
2021-02-22,35650,29950,44800
2021-02-23,35500,30300,46150
2021-02-24,35500,30000,44700
2021-02-25,37450,30600,46050
2021-02-26,36500,30050,45700
2021-03-02,37800,30200,45900
2021-03-03,37950,32200,47100
2021-03-04,36950,32200,49150
2021-03-05,37450,32800,50300
2021-03-08,35700,31700,49850
2021-03-09,34200,30900,48500
2021-03-10,33300,30200,47100
2021-03-11,34300,31800,48400
2021-03-12,34500,30600,48350
2021-03-15,34300,30250,49250
2021-03-16,35000,30350,49300
2021-03-17,35150,30100,49750
2021-03-18,35200,30150,48150
2021-03-19,35350,30200,48000
2021-03-22,35400,30050,47950
2021-03-23,35400,29650,47550
2021-03-24,36150,29750,46550
2021-03-25,36500,29850,46250
2021-03-26,35700,29800,45250
2021-03-29,34850,29450,45100
2021-03-30,35600,29550,45050
2021-03-31,35600,29600,44500
2021-04-01,34700,29950,45250
2021-04-02,34900,29700,45300
2021-04-05,34550,29650,46000
2021-04-06,34400,29850,46150
2021-04-07,35000,30700,46200
2021-04-08,34950,30350,46200
2021-04-09,34300,30200,45350
2021-04-12,34050,30400,45100
2021-04-13,34200,30400,45250
2021-04-14,33950,30450,44900
2021-04-15,34100,30750,44600
2021-04-16,34800,30800,45100
2021-04-19,34350,30400,44950
2021-04-20,34500,30400,45200
2021-04-21,33850,29950,44500
2021-04-22,34150,29950,44550
2021-04-23,33800,29700,43850
2021-04-26,33800,30000,44500
2021-04-27,33950,30650,43850
2021-04-28,33350,30350,42950
2021-04-29,33350,30150,42400
2021-04-30,32900,30200,41550
2021-05-03,31500,29800,41000
2021-05-04,31550,29550,40950
2021-05-06,30950,30000,40600
2021-05-07,33050,32000,41900
2021-05-10,34000,32600,41900
2021-05-11,33050,31650,41500
2021-05-12,33900,31300,44500
2021-05-13,33450,31000,44900
2021-05-14,35900,33450,45100
2021-05-17,37650,35950,46100
2021-05-18,38250,38400,47250
2021-05-20,38200,39000,48350
2021-05-21,37050,40000,47950
2021-05-24,36950,40100,49050
2021-05-25,38650,42700,50000
2021-05-26,38600,42250,50000
2021-05-27,39000,42450,50500
2021-05-28,38250,42700,49400
2021-05-31,39600,43700,50900
2021-06-01,39650,44300,50900
2021-06-02,38800,44400,51000
2021-06-03,39400,47000,50400
2021-06-04,38650,43750,49900
2021-06-07,39450,45950,50000
2021-06-08,39500,43350,47950
2021-06-09,38950,44350,48350
2021-06-10,38900,44800,47900
2021-06-11,39950,47950,49750
2021-06-14,40850,47100,50700
2021-06-15,41300,51000,52400
2021-06-16,40300,51400,52700
2021-06-17,40800,55000,53700
2021-06-18,42950,54800,54800
2021-06-21,43050,53300,52800
2021-06-22,42150,54000,52200
2021-06-23,42900,55700,55300
2021-06-24,42150,56500,54200
2021-06-25,40200,54000,51100
2021-06-28,39950,55100,50400
2021-06-29,39750,59200,50400
2021-06-30,40500,58800,51200
2021-07-01,40750,58700,51900
2021-07-02,40100,60800,51400
